symbol,date,open,high,low,close,volume,change,changePercent,vwap
JPM,2025-05-21,264.35,265.65,260.73,261.04,7464045,-3.31,-1.25,262.9425
JPM,2025-05-22,259.44,262.3,258.87,260.67,6514113,1.23,0.4741,260.32
JPM,2025-05-23,256.81,261.99,256.0,260.71,6671841,3.9,1.52,258.8775
JPM,2025-05-27,262.04,265.3,261.99,265.29,7506600,3.25,1.24,263.655
JPM,2025-05-28,266.24,266.72,262.9,263.49,5535408,-2.75,-1.03,264.8375
JPM,2025-05-29,264.8,265.41,262.53,264.37,5081992,-0.43,-0.16239,264.2775
JPM,2025-05-30,263.45,265.33,262.73,264.0,10977700,0.55,0.20877,263.8775
JPM,2025-06-02,263.02,265.03,261.9,264.66,6011200,1.64,0.62353,263.6525
JPM,2025-06-03,263.73,266.58,262.88,266.27,6998400,2.54,0.96311,264.865
JPM,2025-06-04,265.92,267.12,264.18,264.22,5915710,-1.7,-0.63929,265.36
JPM,2025-06-05,264.74,264.74,260.31,261.95,8179258,-2.79,-1.05,262.935
JPM,2025-06-06,264.33,266.65,264.26,265.73,7738134,1.4,0.52964,265.2425
JPM,2025-06-09,266.0,267.9,263.35,266.74,8285364,0.74,0.2782,265.9975
JPM,2025-06-10,265.88,268.9,265.85,268.6,7538135,2.72,1.02,267.3075
JPM,2025-06-11,268.68,269.62,265.79,268.15,7434100,-0.53,-0.19726,268.06
JPM,2025-06-12,266.86,268.29,265.14,268.24,6618026,1.38,0.51713,267.1325
JPM,2025-06-13,265.08,267.02,262.71,264.95,7098300,-0.13,-0.0490418,264.94
JPM,2025-06-16,267.0,271.73,266.85,270.36,8566019,3.36,1.26,268.985
JPM,2025-06-17,268.17,270.59,267.8,269.52,6739300,1.35,0.50341,269.02
JPM,2025-06-18,270.0,277.72,269.72,273.96,9586440,3.96,1.47,272.85
JPM,2025-06-20,275.57,277.3,273.81,275.0,13969700,-0.57,-0.20684,275.42
JPM,2025-06-23,275.06,278.55,272.11,278.27,8094600,3.21,1.17,275.9975
JPM,2025-06-24,280.21,282.71,279.51,281.26,9267941,1.05,0.37472,280.9225
JPM,2025-06-25,281.5,284.28,280.91,284.06,6826901,2.56,0.90941,282.6875
JPM,2025-06-26,284.7,289.41,284.47,288.75,8942100,4.05,1.42,286.8325
JPM,2025-06-27,285.81,288.7,285.04,287.11,17868633,1.3,0.45485,286.665
JPM,2025-06-30,290.4,292.65,288.92,289.91,12689200,-0.49,-0.16873,290.47
JPM,2025-07-01,290.89,291.13,286.59,290.41,9338300,-0.48,-0.16501,289.755
JPM,2025-07-02,292.04,292.82,289.7,292.0,8158700,-0.04,-0.01369675,291.64
JPM,2025-07-03,292.15,296.4,291.21,296.0,6541646,3.85,1.32,293.94
JPM,2025-07-07,295.25,296.04,290.08,291.97,8825732,-3.28,-1.11,293.335
JPM,2025-07-08,289.27,289.7,280.31,282.78,15440900,-6.5,-2.24,285.515
